3a_hats_cloaks_the_lord_1,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.844,0.902,0.871,0.861,0.687,0.746,0.69,0.609,0.563
T30 [s],,1.101,0.987,0.969,0.902,0.89,0.828,0.707,0.648,0.562
T60,,0.9725,0.9445,0.92,0.8815,0.7885,0.787,0.6985,0.6285,0.5625
STI male,,0.54 (Fair),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3a_hats_cloaks_the_lord_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.291,1.019,0.962,0.816,0.67,0.721,0.704,0.681,0.582
T30 [s],,0.897,1.148,1.047,0.853,0.75,0.73,0.711,0.692,0.58
T60,,0.594,1.0835,1.0045,0.8345,0.71,0.7255,0.7075,0.6865,0.581
STI male,,0.53 (Fair),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4a_hats_cloaks_visitors_1,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,1.639,1.313,0.931,1.161,1.169,1.125,1.117,1.02,0.873
T30 [s],,1.775,1.229,0.939,1.167,1.195,1.124,1.087,1.024,0.861
T60,,1.707,1.271,0.935,1.164,1.182,1.1245,1.102,1.022,0.867
STI male,,0.39 (Poor),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4a_hats_cloaks_visitors_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,1.99,1.38,1.046,1.001,1.181,1.134,1.095,1.014,0.855
T30 [s],,1.848,1.407,1.067,1.107,1.186,1.11,1.06,1.013,0.854
T60,,1.919,1.3935,1.0565,1.054,1.1835,1.122,1.0775,1.0135,0.8545
STI male,,0.39 (Poor),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
18a_smoking_room_1,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.431,0.395,0.709,0.772,0.728,0.787,0.736,0.728,0.594
T30 [s],,0.442,0.539,0.744,0.797,0.755,0.791,0.756,0.723,0.589
T60,,0.4365,0.467,0.7265,0.7845,0.7415,0.789,0.746,0.7255,0.5915
STI male,,0.58 (Fair),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
18a_smoking_room_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.763,0.556,0.662,0.706,0.687,0.785,0.772,0.697,0.594
T30 [s],,0.594,0.519,0.736,0.79,0.758,0.835,0.8,0.736,0.594
T60,,0.6785,0.5375,0.699,0.748,0.7225,0.81,0.786,0.7165,0.594
STI male,,0.59 (Fair),,,,,,,,
