mh3_000_bformat_48k_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.747,0.925,0.91,0.682,0.564,0.482,0.472,0.454,0.367,0.281
T30 [s],,0.735,0.84,0.839,0.612,0.557,0.517,0.453,0.435,0.369,0.283
T60,,0.741,0.8825,0.8745,0.647,0.5605,0.4995,0.4625,0.4445,0.368,0.282
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_bformat_48k_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.797,0.797,0.83,0.696,0.57,0.459,0.478,0.415,0.374,0.272
T30 [s],,0.758,0.758,0.802,0.643,0.567,0.495,0.466,0.429,0.376,0.279
T60,,0.7775,0.7775,0.816,0.6695,0.5685,0.477,0.472,0.422,0.375,0.2755
STI male,,0.81 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_bformat_48k_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.043,1.018,0.948,0.549,0.556,0.526,0.459,0.408,0.365,0.278
T30 [s],,0.885,0.875,0.903,0.592,0.58,0.517,0.456,0.413,0.363,0.279
T60,,0.964,0.9465,0.9255,0.5705,0.568,0.5215,0.4575,0.4105,0.364,0.2785
STI male,,0.76 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_bformat_48k_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.666,0.759,0.871,0.561,0.604,0.511,0.439,0.414,0.375,0.284
T30 [s],,0.699,0.733,0.902,0.586,0.574,0.516,0.457,0.403,0.372,0.287
T60,,0.6825,0.746,0.8865,0.5735,0.589,0.5135,0.448,0.4085,0.3735,0.2855
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_ortf_48k_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.648,0.763,0.748,0.593,0.538,0.505,0.437,0.39,0.355,0.273
T30 [s],,0.647,0.862,0.781,0.589,0.56,0.511,0.451,0.409,0.365,0.295
T60,,0.6475,0.8125,0.7645,0.591,0.549,0.508,0.444,0.3995,0.36,0.284
STI male,,0.81 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_ortf_48k_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.796,0.746,0.681,0.594,0.521,0.523,0.427,0.409,0.351,0.287
T30 [s],,0.762,0.82,0.678,0.589,0.574,0.528,0.443,0.409,0.364,0.3
T60,,0.779,0.783,0.6795,0.5915,0.5475,0.5255,0.435,0.409,0.3575,0.2935
STI male,,0.81 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_wx_48k_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.725,0.861,0.797,0.634,0.611,0.512,0.427,0.42,0.352,0.281
T30 [s],,0.739,0.881,0.799,0.656,0.609,0.513,0.463,0.423,0.359,0.291
T60,,0.732,0.871,0.798,0.645,0.61,0.5125,0.445,0.4215,0.3555,0.286
STI male,,0.86 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mh3_000_wx_48k_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.693,0.731,0.611,0.543,0.507,0.493,0.435,0.382,0.346,0.276
T30 [s],,0.695,0.719,0.606,0.573,0.53,0.489,0.449,0.394,0.359,0.281
T60,,0.694,0.725,0.6085,0.558,0.5185,0.491,0.442,0.388,0.3525,0.2785
STI male,,0.90 (Excellent),,,,,,,,,
