25t_ir_treeverb_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.303,1.354,0.472,0.421,0.454,0.354,0.394,0.299,0.294,--
T30 [s],,0.984,0.978,0.403,0.392,0.402,0.335,0.352,0.27,0.263,--
T60,,1.1435,1.166,0.4375,0.4065,0.428,0.3445,0.373,0.2845,0.2785,T60
STI male,,0.48 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
25t_ir_wgw_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.523,0.171,0.161,0.21,0.356,0.348,0.393,0.433,0.436,0.444
T30 [s],,0.318,0.133,0.163,0.214,0.326,0.312,0.35,0.367,0.38,0.389
T60,,0.4205,0.152,0.162,0.212,0.341,0.33,0.3715,0.4,0.408,0.4165
STI male,,0.83 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_shoe_sdn_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.96,0.951,1.075,0.992,0.99,1.014,0.965,0.989,0.998,0.981
T30 [s],,1.118,0.959,0.963,0.981,1.006,1.001,0.965,0.992,0.997,0.987
T60,,1.039,0.955,1.019,0.9865,0.998,1.0075,0.965,0.9905,0.9975,0.984
STI male,,0.72 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_shoe_wgw_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.899,1.142,1.037,1.043,0.964,1.012,1.01,0.98,1.005,0.973
T30 [s],,0.989,1.13,1.06,0.973,0.994,1.004,1.005,0.998,1.005,0.99
T60,,0.944,1.136,1.0485,1.008,0.979,1.008,1.0075,0.989,1.005,0.9815
STI male,,0.80 (Excellent),,,,,,,,,
